elapsed,scores
0.0006652900483459234,-2.3195580757460003e6
0.08293809002498165,-163.23074057999455
0.16475809999974445,-123.87635158342795
0.24251707701478153,-107.64255352612079
0.32261236204067245,-82.51867937506405
0.3983320320257917,-76.8083106290035
0.47888020804384723,-76.32365968741308
0.554892893997021,-68.55321630887356
0.635002383030951,-67.97546561122915
0.7112501400406472,-70.86785279058368
0.7975036370335147,-69.16015649916564
0.8809130699955858,-69.45537653657883
0.9574536290019751,-79.40406826251848
1.0385059320251457,-70.51235456376052
1.1148150610388257,-74.9185072837427
1.1952116269967519,-77.64948017241402
1.272014754009433,-70.2271605637223
1.3520683289971203,-73.61760468809258
1.4278258370468393,-69.91728105392411
1.508132713031955,-85.01966342833569
1.5883560760412365,-72.03725735818995
1.6639495190465823,-68.75532679389428
1.7447181820170954,-72.89579034136098
1.8205716960364953,-77.08888797570572
1.9071951300138608,-70.3195327755836
1.9851744750048965,-69.81690040760964
2.065349492011592,-72.33069186300943
2.1469768410315737,-71.06148263423081
2.2243708700407296,-80.29713977370203
2.304646111035254,-71.12382902678469
2.3806237230310217,-70.06576733483833
2.4608970900299028,-79.78917053074422
2.5365485030342825,-68.59934283702525
2.616791729000397,-73.93061034110454
2.692996032012161,-78.68965714285514
2.775298800028395,-76.50845711744586
2.8578550630481914,-79.791874149392
2.9346657910500653,-73.5472357621388
3.015571338008158,-82.80315197755753
3.091480663046241,-70.25523037016107
3.172670255997218,-76.23844424998391
3.249277917027939,-72.48341740493373
3.329790602030698,-68.23040397888435
3.406517713039648,-71.76844429721896
3.4877082650200464,-68.65038641796596
3.5684766829945147,-68.28271736417119
3.644859299005475,-70.6006460435131
3.726178882003296,-71.16503455673985
3.8022193270153366,-70.83971298417234
3.882115563028492,-72.72395130300114
3.9600464969989844,-70.57741153817949
4.045305717037991,-72.88788744452337
4.1301461640396155,-72.49409625042665
4.206771462049801,-77.35970254506077
4.288636201992631,-73.18350354802381
4.3649014930124395,-69.10917397297767
4.44585013500182,-68.68720994171969
4.522203711036127,-67.87972158737406
4.602763350994792,-67.67797463979456
4.679077622015029,-68.87429173829558
4.760174765018746,-70.12827321711207
4.839993752015289,-77.54424135037152
4.915416653035209,-76.60579709708514
4.9959218430449255,-73.11350167685737
5.071644269046374,-70.01932445470077
5.15221793303499,-73.37778417072946
5.228098223044071,-76.34456766173298
5.310656791029032,-71.36098858669422
5.389314204046968,-71.83035531277372
5.469538341043517,-73.46227762706634
5.549389095045626,-69.86276016814635
5.625356947013643,-70.7551742398011
5.705831911007408,-73.79948463597087
5.782024992047809,-71.21734129345043
5.862244456016924,-76.35996606707286
5.938278404006269,-69.8902754047389
6.018886959995143,-76.21712850076155
6.094634259992745,-70.55338326575598
6.175086133996956,-69.31631966546745
6.255242973042186,-74.59429348814655
6.33116255904315,-70.11029345711094
6.411750444036443,-68.5483258228564
6.4874660150380805,-72.9195400031568
6.567352926998865,-68.64708007836695
6.643243569007609,-68.77166053578405
6.7240968880360015,-68.35840358547117
6.803977941046469,-67.96894046675655
6.879794711014256,-70.59591674220115
6.965011142019648,-70.8091326065207
7.0416938430280425,-72.80136415533332
7.125790672027506,-70.95272780435577
7.206653986999299,-70.74822792262599
7.290207567042671,-69.62628469072142
7.368509976018686,-74.31647798827696
7.450590608001221,-77.33856703716171
7.5315769530134276,-71.35392766169002
7.607457158039324,-73.29770804750393
7.68812391103711,-67.86386251798328
7.763777234998997,-68.49652232775173
7.843545579002239,-68.98722793106063
7.919784085999709,-68.89987008574349
