num_steps,runtime,score,slope,intercept,inlier_log_var,outlier_log_var
43,2504.8577592373,0,-0.9089131869,2.0166172474,3.3576438699,-1.1080920592
44,2625.0527403355,0,-0.9089131869,2.0166172474,3.3576438699,-1.1080920592
45,2748.3568723202,0,-0.9089131869,2.0166172474,3.3576438699,-0.8675802926
46,2874.6255414486,0,-0.9089131869,2.0166172474,3.3576438699,-0.8675802926
47,3004.1303024292,0,-0.9089131869,2.0166172474,3.3576438699,-0.8675802926
48,3136.4610304832,0,-0.9089131869,2.0166172474,3.3576438699,-0.8972731158
49,3271.4083724022,0,-0.9695402977,2.0166172474,3.3576438699,-1.4124392457
50,3409.1860473156,0,-0.9695402977,2.0166172474,3.1398057785,-1.4124392457
51,3549.6501863003,0,-0.9695402977,2.0166172474,3.2914530605,-1.4529631595
52,3693.3600251675,0,-0.9695402977,2.0166172474,3.2914530605,-1.4529631595
53,3840.0330781937,0,-0.9695402977,2.0166172474,3.2914530605,-1.4529631595
54,3989.8011500835,0,-0.9695402977,2.0166172474,3.2914530605,-1.5351254743
55,4142.5638370514,0,-0.9695402977,2.0166172474,3.2914530605,-1.5351254743
56,4298.4561400414,0,-0.9695402977,2.0166172474,3.2914530605,-1.2783303197
57,4456.8261511326,0,-1.0147701271,2.0166172474,3.2914530605,-1.2783303197
58,4618.0227172375,0,-1.0147701271,2.0166172474,3.2914530605,-1.4527127702
59,4782.4611160755,0,-1.0147701271,2.0166172474,3.2914530605,-1.4527127702
60,4949.8646972179,0,-1.0147701271,2.0166172474,3.2914530605,-1.4527127702
61,5120.5170922279,0,-1.0147701271,2.0166172474,3.2914530605,-1.4527127702
62,5293.9967494011,0,-1.0147701271,2.0166172474,3.2914530605,-1.5406034822
63,5469.8154363632,0,-1.0191511314,2.0166172474,3.2914530605,-1.2146347843
64,5648.8973102570,0,-1.0191511314,2.0166172474,3.2914530605,-1.2146347843
65,5830.9451982975,0,-1.0191511314,2.0166172474,3.2914530605,-1.2146347843
66,6016.1016793251,0,-1.0191511314,2.0166172474,3.2914530605,-1.5734315765
67,6204.2293522358,0,-1.0191511314,2.0166172474,3.2914530605,-1.5734315765
68,6395.3252332211,0,-1.0191511314,2.0166172474,3.2914530605,-1.5734315765
69,6589.5375442505,0,-1.0191511314,2.0166172474,3.2914530605,-1.4598252873
70,6786.5820033550,0,-1.0191511314,2.0166172474,3.2022185775,-1.4598252873
71,6986.3876261711,0,-1.0210896118,2.0166172474,3.2022185775,-1.4598252873
72,7189.1559360027,0,-1.0210896118,2.0166172474,3.2022185775,-1.4598252873
73,7395.0298740864,0,-1.0210896118,2.0166172474,3.2303242752,-1.4598252873
74,7603.8695409298,0,-1.0210896118,2.0166172474,3.2303242752,-1.4598252873
75,7815.2010009289,0,-0.9971193882,2.0166172474,3.2303242752,-1.4598252873
