num_steps,runtime,score,slope,intercept,inlier_log_var,outlier_log_var,predictive_likelihood
7,0.01132488250732422,0,0.384037,-1.73177,-0.26213800000000004,2.7985,-2132.1721117372695
7,0.011222124099731444,0,-0.888136,0.0995894,1.71619,-1.26427,-2025.8425238577624
7,0.011741876602172852,0,-0.873524,0.977556,1.68458,-1.53142,-1807.2594153757436
7,0.020652055740356445,0,-0.601903,0.128407,3.22931,1.35272,-1511.8940194104894
7,0.011808156967163086,0,0.320802,0.793266,1.31798,-0.978826,-3151.1599454186494
7,0.0114898681640625,0,-1.41573,-0.263454,3.82882,0.996916,-1556.3079095557537
7,0.011679887771606444,0,-0.912217,1.26694,-0.41187,1.40985,-1838.5749369510352
7,0.010061025619506836,0,-0.654307,0.929956,2.1528,2.30042,-1514.0050697648353
7,0.01247096061706543,0,-0.736347,1.26635,1.7123099999999998,-1.31957,-1740.9454622822539
7,0.012362957000732422,0,-1.0292,1.63221,0.261778,-0.628965,-3531.4100363724883
7,0.012214899063110352,0,-0.691131,1.92298,0.800141,1.7910400000000002,-1645.9162474311568
8,0.01309490203857422,0,0.674653,0.0715713,-1.09819,0.107728,-10210.652403393655
8,0.012573957443237305,0,-1.21681,-1.19134,1.71233,-1.8344,-2346.324685938048
8,0.012106895446777344,0,-0.133527,-0.717978,1.00282,-1.84095,-3595.691213036867
8,0.011214971542358398,0,-1.74984,1.68861,2.02314,-1.8306,-1891.3678666547632
8,0.012562990188598631,0,-0.662396,-0.240598,2.02284,-1.42573,-1946.429585172307
8,0.027804851531982425,0,0.850716,1.41216,1.54073,-0.547086,-3513.719001397964
8,0.011765003204345705,0,-0.471548,0.8930739999999999,2.06911,-0.977773,-1756.446326572683
8,0.011183977127075195,0,0.713671,1.39383,3.0717,1.03242,-1891.9443479749903
8,0.011288166046142578,0,-0.454437,-1.02915,2.2307,-0.456513,-2004.5129529758449
8,0.011680126190185549,0,0.645567,-1.04475,1.73738,-0.633365,-3260.355424660697
8,0.012367963790893556,0,-0.360608,0.99907,0.73155,-1.65468,-3220.0445238158645
8,0.015521049499511719,0,-0.635473,0.299112,-1.58784,0.930378,-2780.7434733163655
8,0.011823177337646484,0,-0.210323,-0.325376,2.58998,-1.55968,-1866.1361709775385
8,0.012164831161499023,0,-0.366684,-0.360754,-1.96072,0.822735,-3508.9365663743556
8,0.015600204467773438,0,1.13194,0.0694353,-1.76804,1.85378,-3486.3977054140864
8,0.011879920959472656,0,0.284467,0.707777,2.80957,-1.6595099999999998,-1916.841139353738
8,0.027703046798706055,0,-0.675113,0.997198,-0.57333,0.422612,-3459.9379980053986
8,0.010957956314086914,0,-0.896056,-1.41644,-1.96612,2.23318,-2084.0436720440703
8,0.012320995330810549,0,0.0782095,0.16195199999999998,-1.27575,1.22357,-3109.1940221097757
8,0.0171968936920166,0,0.221564,-0.7509680000000001,-0.959042,2.54498,-2082.34345280604
9,0.018407106399536133,0,-1.05705,1.50854,-1.48915,1.91338,-1520.2976765580527
9,0.012398004531860352,0,-0.7172189999999999,0.979035,-1.87024,3.12805,-1564.7405492068929
9,0.021517038345336914,0,-0.914699,1.88188,-0.839414,1.89925,-1480.3126645920622
9,0.012130022048950195,0,-0.6280140000000001,-1.28702,-1.55849,0.764456,-4038.487587817028
9,0.011929988861083984,0,-0.7487159999999999,-1.24395,2.4007400000000003,0.70036,-1883.9693175105342
9,0.014347076416015625,0,0.792515,-0.6572140000000001,-1.54557,0.216386,-10647.648553752613
9,0.02030801773071289,0,-0.988166,1.8177,0.392487,3.41311,-1313.2078629209077
9,0.013899087905883787,0,-1.30182,1.04331,0.60322,-0.470908,-3012.2231620537286
9,0.022549867630004883,0,-0.703893,0.662234,-1.94799,2.63768,-1640.7331077153256
9,0.01335906982421875,0,0.722967,0.418207,-1.61963,2.02746,-2672.081107223224
9,0.012085199356079102,0,-1.16627,1.66045,-0.08372510000000001,4.39254,-1361.3069503877182
9,0.012939929962158205,0,-1.04808,2.00399,4.4996800000000015,0.06808560000000001,-1340.1025580797116
9,0.013916015625,0,1.1482,0.206113,-1.0874700000000002,0.477483,-9721.549170752889
9,0.012398004531860352,0,-1.15268,1.67055,1.96667,2.11955,-1506.0334491180206
9,0.025673866271972656,0,-1.04695,1.88455,1.53308,-1.48048,-1652.9382339114682
9,0.012061119079589844,0,-0.712125,0.38766,-1.62741,1.89436,-1862.8824248959315
9,0.013106107711791992,0,-0.805837,0.0568326,1.70307,0.4874979999999999,-1899.7831173832617
9,0.0117340087890625,0,-0.8344729999999999,-1.32085,-1.7678599999999998,2.66163,-1943.7706087564206
9,0.012048006057739258,0,-0.186576,1.34983,2.99263,-1.22843,-1680.9889572381737
9,0.013213157653808594,0,0.644015,0.994062,1.5866,0.08870449999999999,-3105.341611875535
10,0.018082857131958008,0,-0.881123,1.62142,1.58448,-1.05692,-1671.2847796990068
10,0.01402902603149414,0,-0.7584930000000001,1.41874,1.61802,0.102735,-1725.0845831080553
10,0.014240980148315431,0,-0.952268,0.797212,1.90836,0.496304,-1625.3711868938906
10,0.014902114868164062,0,-0.162903,-1.61697,1.8289,-0.761162,-2548.6780354873704
10,0.0165250301361084,0,-0.707079,-1.09758,2.44406,-1.0628799999999998,-1960.6099315719468
10,0.015577077865600588,0,-0.933341,2.0148200000000003,0.495742,3.6178,-1322.6030434637073
10,0.01954197883605957,0,-0.596359,0.195455,3.4442699999999995,-1.43986,-1682.8014474044073
10,0.0134429931640625,0,-0.610951,-0.248076,-1.28152,3.13734,-1738.145669642471
10,0.0159149169921875,0,-2.32022,1.3964299999999998,-1.08522,5.47926,-2057.0367049347205
10,0.01517486572265625,0,-1.0870799999999998,1.82503,3.55838,-1.19896,-1259.5997863041205
10,0.021649837493896484,0,0.5009140000000001,-0.215022,2.06181,-1.52071,-2516.8340735793126
10,0.01789999008178711,0,-1.04667,1.39114,-1.69219,2.07535,-1508.0500092470293
10,0.01663994789123535,0,-0.435498,-0.715046,2.37699,-0.944878,-1899.0570193690114
10,0.015750885009765625,0,0.8454430000000001,-1.1882,0.770629,2.1590000000000003,-2819.134339858558
10,0.016160011291503906,0,-0.962615,-0.8251959999999999,2.12393,-0.7962239999999999,-2002.6965724938973
10,0.012887001037597656,0,-0.16979,1.15014,-1.51788,1.50888,-2286.970137882864
10,0.0133819580078125,0,-0.989433,-0.457096,1.00301,-1.8485,-2916.8877595602157
10,0.01470303535461426,0,-1.04381,0.776877,2.60352,1.1045,-1451.332782147525
10,0.014859914779663088,0,-1.13989,0.59702,3.24315,0.76444,-1431.7854708166224
10,0.013556957244873049,0,0.016575799999999998,-1.49971,0.045724900000000006,1.81588,-2628.7490459796572
20,0.02736496925354004,0,-1.00489,2.02469,3.46125,-0.0944901,-1280.0930707395487
20,0.035281896591186516,0,-1.00195,1.99726,3.25034,-1.13854,-1229.27356058875
20,0.050535917282104485,0,-1.00957,2.03106,3.41886,-0.278477,-1268.4823767978114
20,0.07013583183288574,0,-1.00254,1.99343,-1.43357,3.30611,-1224.7234454225497
20,0.057153940200805664,0,-1.04027,2.05938,-1.11014,3.25095,-1237.7866300108944
20,0.034496068954467766,0,-0.979704,1.86121,-0.303545,3.40311,-1267.440898927318
20,0.04538798332214356,0,-0.999543,2.02885,-0.6224970000000001,3.37012,-1248.4111244265112
20,0.041715145111083984,0,-0.979258,2.01601,-0.56366,3.42374,-1251.3054709260432
20,0.07171201705932617,0,-1.0234299999999998,1.97891,3.34475,-1.33726,-1227.7466384541058
20,0.062273979187011726,0,-1.01636,2.02197,-1.2984,3.39982,-1227.679707239479
20,0.03671097755432129,0,-1.01411,1.98995,-1.42752,2.5552200000000003,-1278.0215257833324
20,0.054169893264770515,0,-1.00801,1.9991,3.19714,-1.05233,-1232.9831193974735
20,0.04287409782409668,0,-1.02624,2.0196400000000003,-0.992671,3.43413,-1235.434235664392
20,0.07756781578063965,0,-1.01514,1.97715,3.28159,-1.30675,-1227.0301999413362
20,0.02903103828430176,0,-1.0288,1.78583,3.37401,-0.252889,-1274.937114528339
20,0.028589963912963867,0,-1.0285799999999998,1.98941,-0.193557,3.42154,-1274.5553278802142
20,0.05012083053588867,0,-0.993799,1.98478,3.02719,-1.62677,-1231.858150630972
20,0.10959386825561523,0,-0.989673,2.01328,-1.2539,3.28432,-1226.5668998358667
20,0.05391192436218262,0,-1.00488,1.98797,-1.14552,3.42533,-1228.420451833012
20,0.0888829231262207,0,-1.00371,1.97693,3.4001900000000003,-1.2062,-1226.9852771652463
30,0.18671107292175293,0,-1.00413,1.95973,-1.2747700000000002,3.2788,-1226.4601745958882
30,0.1635270118713379,0,-1.02298,2.01952,-1.34069,3.25193,-1229.0625223582501
30,0.08156204223632812,0,-1.00216,2.0326,-1.24252,3.50141,-1228.1962511578406
30,0.10181212425231934,0,-1.00474,1.98876,3.33809,-1.41641,-1224.7691146050838
30,0.08519196510314941,0,-1.0027700000000002,1.93851,-1.44334,3.46973,-1225.996267621895
30,0.04983997344970703,0,-1.01114,1.9935,-0.8270629999999999,3.47625,-1239.3929451245738
30,0.10384011268615724,0,-1.02765,1.99476,3.35793,-1.36751,-1228.5855651439706
30,0.10065197944641112,0,-0.997381,2.03518,3.47277,-1.56204,-1226.7573719089812
30,0.13245511054992676,0,-1.02619,2.01848,3.22191,-1.53362,-1230.2561071673479
30,0.1028289794921875,0,-1.02733,1.96748,-1.31925,3.27399,-1229.1368437836097
30,0.1646418571472168,0,-1.01223,2.0769,3.24685,-1.389,-1230.2089957589217
30,0.059642791748046875,0,-1.04122,1.96519,3.12518,-0.918418,-1243.855377391448
30,0.0968780517578125,0,-1.00225,2.04308,3.3787300000000005,-1.34664,-1226.4808056808529
30,0.035310029983520515,0,-0.998685,1.91254,3.22298,-0.331635,-1266.1561075848158
30,0.1101081371307373,0,-1.03373,2.0735900000000003,3.42855,-1.34673,-1233.9345232459702
30,0.08303594589233397,0,-1.00588,2.03707,3.2589200000000003,-1.6702400000000002,-1228.4592038193248
30,0.07676815986633301,0,-1.0252,2.04065,-1.26673,3.43549,-1230.4990833319214
30,0.10380887985229492,0,-1.00603,2.0071,-1.2764799999999998,3.5077300000000005,-1227.3940024303274
30,0.08559489250183105,0,-1.0275,2.0253,3.32119,-1.65175,-1231.5824535359625
30,0.08471298217773438,0,-1.00142,1.96161,-1.21971,3.31195,-1226.8645272706974
40,0.1786649227142334,0,-1.00434,2.04125,-1.48007,3.35241,-1226.2098947409722
40,0.18119382858276367,0,-1.01209,1.99093,3.38524,-1.17586,-1228.2829590654242
40,0.06353902816772461,0,-0.98803,1.93072,-0.708016,3.36424,-1243.9383136938468
40,0.1899092197418213,0,-1.01171,1.90521,-1.4640799999999998,3.22579,-1228.6229270826327
40,0.07437610626220703,0,-1.03782,2.02157,3.4319900000000003,-1.0249,-1236.802943557494
40,0.1662149429321289,0,-0.991357,1.91992,-1.4118700000000002,3.36065,-1225.7396330744643
