num_steps,runtime,score,slope,intercept,inlier_log_var,outlier_log_var,predictive_likelihood
1,3.2510020733,0,1.2423381479,-1.4984647097,-0.583110377,-1.5088854423,-31717.372632104907
2,9.7795701027,0,1.2423381479,-1.4984647097,-0.583110377,-1.5088854423,-31717.372632104907
3,18.2691030502,0,0.9473409020999999,-0.4992888914,-0.583110377,-0.7731806522,-24242.147671629034
4,29.477586984600002,0,0.9473409020999999,-0.4992888914,0.10181344029999999,-0.493679277,-12714.179624045633
5,43.5688450336,0,0.9473409020999999,-0.0371101269,0.10181344029999999,-0.493679277,-12244.366021881939
6,59.9677278996,0,0.9473409020999999,0.1026517909,0.13299709199999998,-0.135139981,-11751.273980613734
7,78.5865778923,0,0.5679937942000001,0.4408880776,0.5606223946,-0.135139981,-6270.473139158017
8,100.0458519459,0,0.5679937942000001,0.4408880776,0.8458835790000001,-0.135139981,-5010.710987480528
9,123.7524278164,0,0.3120443587,1.0131030122,1.3814271044,-0.135139981,-2969.100755106002
10,150.0510716438,0,0.3120443587,1.3122869301,1.3814271044,-0.135139981,-2936.7056813676422
11,178.3030955791,0,0.052998153799999996,1.4775720680000002,1.3814271044,-0.1461916335,-2578.6347599781125
12,209.0237724781,0,-0.2111921857,1.4775720680000002,1.4004382293000002,0.5246472984,-2234.4463910148315
13,241.81619238849999,0,-0.2111921857,2.1812569203,1.8419478829,0.745891458,-1868.0928320637113
14,277.308958292,0,-0.2111921857,2.0764439065,2.5001128495,0.745891458,-1612.342859481195
15,315.1048252583,0,-0.2111921857,2.1290485934,2.8621911713999997,1.0006269601,-1541.971051111593
16,356.00122118,0,-0.2111921857,2.1290485934,2.8621911713999997,1.2466353292,-1534.9609818981
17,398.8511891365,0,-0.3068468832,1.877723106,3.2693652095999997,1.2466353292,-1479.2575775944285
18,444.68704295160006,0,-0.3068468832,1.877723106,3.2693652095999997,1.2466353292,-1479.2575775944285
19,493.7925648689,0,-0.3068468832,1.877723106,3.2693652095999997,1.2466353292,-1479.2575775944285
20,545.3806817532,0,-0.6752903782999999,1.877723106,3.2693652095999997,1.2466353292,-1392.488672753668
21,600.071338892,0,-0.6752903782999999,1.877723106,3.2838856712,1.2466353292,-1392.3179685396567
22,656.855050087,0,-0.772606377,1.9044600935,3.2838856712,1.2466353292,-1378.9666949687983
23,716.7730829716,0,-0.772606377,1.9044600935,3.2838856712,1.0714367103,-1370.1172180828187
24,779.6584880352001,0,-0.772606377,1.9044600935,3.2838856712,1.0714367103,-1370.1172180828187
25,844.9808821678,0,-0.772606377,2.1712786896000003,3.3017082083,1.0714367103,-1370.162255335634
26,913.5413682461,0,-0.772606377,2.1712786896000003,3.3017082083,1.0714367103,-1370.162255335634
27,984.9227311611,0,-0.772606377,2.1712786896000003,3.3017082083,-0.0604954024,-1326.2259220564918
28,1059.5399742125999,0,-0.772606377,2.1712786896000003,3.3017082083,-0.0604954024,-1326.2259220564918
29,1136.7301762104,0,-0.772606377,1.8397953750999998,3.3017082083,-0.0604954024,-1326.2865060411323
30,1216.002723217,0,-1.1998703074,1.9630605546000002,3.4380679694,-0.5790196089999999,-1316.6338643432207
31,1297.2316961288,0,-0.9089131869,2.0166172474,3.4380679694,-0.6143547333,-1259.4815064843876
32,1381.2857811451001,0,-0.9089131869,2.0166172474,3.2318475186,-0.6143547333,-1260.7674803496095
33,1468.4359731673999,0,-0.9089131869,2.0166172474,3.2318475186,-0.6824055694,-1258.149574752
34,1558.4132840633,0,-0.9089131869,2.0166172474,3.2318475186,-0.9355639506,-1250.4932505581314
35,1651.5345261097,0,-0.9089131869,2.0166172474,3.2318475186,-1.0799313448999999,-1247.7652631196977
36,1747.6153271198002,0,-0.9089131869,2.0166172474,3.2318475186,-1.0799313448999999,-1247.7652631196977
37,1846.7929420470998,0,-0.9089131869,2.0166172474,3.3576438699,-1.0799313448999999,-1246.685868026665
38,1948.9311921597,0,-0.9089131869,2.0166172474,3.3576438699,-1.0799313448999999,-1246.685868026665
39,2053.8868272305,0,-0.9089131869,2.0166172474,3.3576438699,-0.9196471428,-1249.6577527551103
40,2162.084113121,0,-0.9089131869,2.0166172474,3.3576438699,-0.9196471428,-1249.6577527551103
41,2273.2389452457,0,-0.9089131869,2.0166172474,3.3576438699,-0.9196471428,-1249.6577527551103
42,2387.6321902275,0,-0.9089131869,2.0166172474,3.3576438699,-0.9196471428,-1249.6577527551103
43,2504.8577592373,0,-0.9089131869,2.0166172474,3.3576438699,-1.1080920592,-1246.331448804693
44,2625.0527403355,0,-0.9089131869,2.0166172474,3.3576438699,-1.1080920592,-1246.331448804693
45,2748.3568723201997,0,-0.9089131869,2.0166172474,3.3576438699,-0.8675802926,-1250.956277713963
46,2874.6255414486,0,-0.9089131869,2.0166172474,3.3576438699,-0.8675802926,-1250.956277713963
47,3004.1303024291997,0,-0.9089131869,2.0166172474,3.3576438699,-0.8675802926,-1250.956277713963
48,3136.4610304832,0,-0.9089131869,2.0166172474,3.3576438699,-0.8972731158,-1250.1964856173424
49,3271.4083724022,0,-0.9695402976999999,2.0166172474,3.3576438699,-1.4124392457,-1226.1861242781824
50,3409.1860473156,0,-0.9695402976999999,2.0166172474,3.1398057785000004,-1.4124392457,-1229.2425341685641
51,3549.6501863003004,0,-0.9695402976999999,2.0166172474,3.2914530605000003,-1.4529631594999999,-1226.348686638043
52,3693.3600251675,0,-0.9695402976999999,2.0166172474,3.2914530605000003,-1.4529631594999999,-1226.348686638043
53,3840.0330781937,0,-0.9695402976999999,2.0166172474,3.2914530605000003,-1.4529631594999999,-1226.348686638043
54,3989.8011500834996,0,-0.9695402976999999,2.0166172474,3.2914530605000003,-1.5351254743,-1226.5307244205792
55,4142.5638370514,0,-0.9695402976999999,2.0166172474,3.2914530605000003,-1.5351254743,-1226.5307244205792
56,4298.4561400414,0,-0.9695402976999999,2.0166172474,3.2914530605000003,-1.2783303197,-1227.6122064311496
57,4456.8261511326,0,-1.0147701271,2.0166172474,3.2914530605000003,-1.2783303197,-1227.7799416980113
58,4618.0227172375,0,-1.0147701271,2.0166172474,3.2914530605000003,-1.4527127702,-1226.7143001972445
59,4782.4611160755,0,-1.0147701271,2.0166172474,3.2914530605000003,-1.4527127702,-1226.7143001972445
60,4949.864697217899,0,-1.0147701271,2.0166172474,3.2914530605000003,-1.4527127702,-1226.7143001972445
61,5120.517092227899,0,-1.0147701271,2.0166172474,3.2914530605000003,-1.4527127702,-1226.7143001972445
62,5293.9967494011,0,-1.0147701271,2.0166172474,3.2914530605000003,-1.5406034822,-1227.0531505699178
63,5469.8154363632,0,-1.0191511314,2.0166172474,3.2914530605000003,-1.2146347843,-1229.3364844857504
64,5648.897310257,0,-1.0191511314,2.0166172474,3.2914530605000003,-1.2146347843,-1229.3364844857504
65,5830.9451982975,0,-1.0191511314,2.0166172474,3.2914530605000003,-1.2146347843,-1229.3364844857504
66,6016.1016793251,0,-1.0191511314,2.0166172474,3.2914530605000003,-1.5734315765,-1228.172597182907
67,6204.2293522357995,0,-1.0191511314,2.0166172474,3.2914530605000003,-1.5734315765,-1228.172597182907
68,6395.3252332211,0,-1.0191511314,2.0166172474,3.2914530605000003,-1.5734315765,-1228.172597182907
69,6589.5375442505,0,-1.0191511314,2.0166172474,3.2914530605000003,-1.4598252873,-1227.4812747815058
70,6786.582003355,0,-1.0191511314,2.0166172474,3.2022185775,-1.4598252873,-1228.7015150922305
71,6986.3876261711,0,-1.0210896118000001,2.0166172474,3.2022185775,-1.4598252873,-1229.0759906327057
72,7189.1559360027,0,-1.0210896118000001,2.0166172474,3.2022185775,-1.4598252873,-1229.0759906327057
73,7395.0298740864,0,-1.0210896118000001,2.0166172474,3.2303242751999997,-1.4598252873,-1228.5755630326544
74,7603.8695409298,0,-1.0210896118000001,2.0166172474,3.2303242751999997,-1.4598252873,-1228.5755630326544
75,7815.2010009289,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.4598252873,-1225.674787156223
76,8029.672603130301,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.1389852695,-1229.765371951225
77,8247.1065671444,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.1389852695,-1229.765371951225
78,8467.7911319733,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.1389852695,-1229.765371951225
79,8691.3036568165,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.5152782891999999,-1225.7229267559578
80,8917.7809679508,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.5152782891999999,-1225.7229267559578
81,9147.5077939034,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.5152782891999999,-1225.7229267559578
82,9380.2005307674,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.5152782891999999,-1225.7229267559578
83,9616.1469438076,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.5152782891999999,-1225.7229267559578
84,9855.0759809017,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.5152782891999999,-1225.7229267559578
85,10097.2618041039,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.5152782891999999,-1225.7229267559578
86,10342.2801868916,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.3695348016,-1226.0895003864807
87,10590.2710390091,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.3695348016,-1226.0895003864807
88,10841.5067210197,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.3695348016,-1226.0895003864807
89,11095.7050321102,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.3695348016,-1226.0895003864807
90,11353.151227235801,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.3695348016,-1226.0895003864807
91,11613.587776184098,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.3695348016,-1226.0895003864807
92,11877.000534296001,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.3695348016,-1226.0895003864807
93,12143.666328191799,0,-0.9971193881999999,2.0166172474,3.2303242751999997,-1.3695348016,-1226.0895003864807
94,12412.9224972725,0,-0.9971193881999999,2.0366528928,3.2303242751999997,-1.3695348016,-1226.8055243830295
95,12685.4884922504,0,-0.9971193881999999,2.0366528928,3.2303242751999997,-1.3695348016,-1226.8055243830295
96,12961.0246953964,0,-0.9971193881999999,2.0366528928,3.2303242751999997,-1.3695348016,-1226.8055243830295
97,13239.8127672672,0,-0.9971193881999999,2.0366528928,3.2303242751999997,-1.3695348016,-1226.8055243830295
98,13521.4305484295,0,-0.9971193881999999,2.0366528928,3.2303242751999997,-1.4457291629,-1226.452553182639
99,13806.0202684402,0,-0.9971193881999999,2.0366528928,3.2303242751999997,-1.4457291629,-1226.452553182639
100,14093.7258784771,0,-0.9971193881999999,2.0366528928,3.2303242751999997,-1.4137895584,-1226.5484236051223
